AB,AVG,BB,G,H,HR,OBP,PLAYER,R,RBI,SB,SLG,SO,TEAM
8,.625,0,2,5,1,.625,Michael Harris,2,2,0,1.125,1,ATL
11,.455,1,3,5,2,.500,Jackson Chourio,3,3,1,1.000,1,MIL
26,.423,3,7,11,4,.500,Fernando Tatis,8,7,0,1.000,2,SD
7,.429,0,2,3,1,.429,Cedric Mullins,1,1,0,1.000,1,BAL
12,.333,5,4,4,1,.529,Bryce Harper,3,3,0,.750,5,PHI
11,.455,1,3,5,0,.500,Brice Turang,3,0,2,.727,1,MIL
23,.435,2,7,10,1,.480,Brayan Rocchio,2,2,0,.652,6,CLE
11,.364,0,3,4,1,.364,Sal Frelick,2,1,0,.727,1,MIL
7,.286,1,2,2,1,.375,Jorge Soler,1,1,0,.714,2,ATL
37,.378,2,9,14,3,.410,Mark Vientos,6,11,0,.676,13,NYM
19,.263,1,7,5,3,.273,Kyle Higashioka,3,5,0,.789,3,SD
17,.412,0,4,7,1,.412,Nick Castellanos,2,3,0,.647,3,PHI
23,.304,3,6,7,2,.385,Giancarlo Stanton,3,5,1,.652,2,NYY
20,.350,5,6,7,1,.462,Juan Soto,2,3,0,.550,5,NYY
29,.241,9,9,7,3,.410,Pete Alonso,6,6,2,.586,10,NYM
29,.448,3,7,13,0,.500,Steven Kwan,7,1,1,.483,3,CLE
24,.292,6,6,7,1,.433,Gleyber Torres,7,3,0,.500,4,NYY
24,.250,6,7,6,2,.400,Teoscar Hernández,4,7,1,.500,8,LAD
25,.280,3,7,7,2,.357,Lane Thomas,2,9,0,.520,5,CLE
34,.235,8,9,8,2,.372,Francisco Lindor,8,7,0,.500,8,NYM
24,.250,3,7,6,1,.333,Jackson Merrill,4,5,0,.500,6,SD
24,.208,3,7,5,2,.321,Max Muncy,4,4,1,.500,7,LAD
26,.269,3,7,7,1,.345,Parker Meadows,3,1,3,.462,6,DET
7,.286,1,2,2,0,.375,Yordan Alvarez,0,0,0,.429,1,HOU
23,.304,2,6,7,0,.360,Michael Massey,1,1,0,.435,6,KC
26,.192,5,7,5,2,.323,Mookie Betts,6,6,0,.462,6,LAD
24,.167,4,7,4,2,.310,José Ramírez,4,4,1,.458,3,CLE
8,.375,0,2,3,0,.375,Alex Bregman,0,0,0,.375,0,HOU
19,.263,2,6,5,1,.318,Gavin Lux,4,3,0,.421,2,LAD
20,.250,1,7,5,1,.286,David Fry,3,5,1,.450,7,CLE
18,.278,6,6,5,0,.458,Anthony Volpe,3,1,1,.278,3,NYY
18,.167,6,6,3,1,.346,Aaron Judge,4,4,1,.389,6,NYY
7,.286,0,2,2,0,.286,Ramón Urías,0,0,0,.429,1,BAL
22,.273,3,7,6,0,.360,Jake Rogers,3,2,0,.318,8,DET
27,.222,5,7,6,1,.344,Shohei Ohtani,5,5,0,.333,12,LAD
11,.182,2,4,2,0,.308,Bryson Stott,1,2,0,.364,4,PHI
24,.333,0,7,8,0,.333,Tommy Edman,2,4,3,.333,2,LAD
22,.318,1,6,7,0,.348,Maikel Garcia,1,1,3,.318,5,KC
